model,scenario,component,CHATGPT4_value,GEMINIPRO_value,TEMPLATE_value,CHATGPT4_ci_lo,GEMINIPRO_ci_lo,TEMPLATE_ci_lo,CHATGPT4_ci_hi,GEMINIPRO_ci_hi,TEMPLATE_ci_hi,CHATGPT4_verdict,GEMINIPRO_verdict,TEMPLATE_verdict,verdict_concordant,verdicts,agreed_verdict
gpt_3_5_turbo,s1,TV,0.00764379777373603,0.00936380852380321,0.01047162794767462,-0.07273435190217857,-0.07529846701127194,-0.0674854766210132,0.08802194744965063,0.09402608405887838,0.08842873251636243,0,0,0,TRUE,C:0 G:0 T:0,0
gpt_3_5_turbo,s1,DE,0.00253696692855201,-1.2320096018684705e-5,0.01341069039681269,-0.0312854225286476,-0.03018990170104167,-0.01729801976726037,0.03635935638575163,0.0301652615090043,0.04411940056088576,0,0,0,TRUE,C:0 G:0 T:0,0
gpt_3_5_turbo,s1,IE,-0.00775447458188947,-0.00828862257945167,0.00515444963920738,-0.01798630211087991,-0.01925120316873414,-0.0078878106511012,0.00247735294710096,0.0026739580098308,0.01819670992951597,0,0,0,TRUE,C:0 G:0 T:0,0
gpt_3_5_turbo,s1,SE,0.00264764373670545,-0.00108750604037023,-0.00221538719006931,-0.06818192639080327,-0.07647995288415878,-0.07278085365808079,0.07347721386421417,0.0743049408034183,0.06835007927794218,0,0,0,TRUE,C:0 G:0 T:0,0
gpt_3_5_turbo,s2,TV,0.1449665918707927,0.112926352107306,0.1438434036914576,0.06402198282443045,0.03401083094476909,0.0667723943476899,0.22591120091715497,0.1918418732698429,0.2209144130352253,+,+,+,TRUE,C:+ G:+ T:+,+
gpt_3_5_turbo,s2,DE,0.1349686912935383,0.10049152081159632,0.12859501914086183,0.10584862896828318,0.06806477762663832,0.10078792278589876,0.16408875361879344,0.13291826399655435,0.1564021154958249,+,+,+,TRUE,C:+ G:+ T:+,+
gpt_3_5_turbo,s2,IE,-4.3740431449789264e-4,5.322353697967664e-4,0.00789546767042893,-0.01092527886119432,-0.01516587504692898,-0.00428184062797,0.01005047023219853,0.01623034578652252,0.02007277596882788,0,0,0,TRUE,C:0 G:0 T:0,0
gpt_3_5_turbo,s2,SE,-0.00956049626275648,-0.01296706666550643,-0.02314385222102471,-0.08843456057920193,-0.08757902715633893,-0.09968236577802572,0.06931356805368896,0.06164489382532605,0.05339466133597627,0,0,0,TRUE,C:0 G:0 T:0,0
gpt_3_5_turbo,s3,TV,0.13402753904907147,0.17706027214030784,0.13893875280484522,0.05541695718484014,0.09701657482308708,0.06272417124268956,0.2126381209133028,0.2571039694575286,0.21515333436700088,+,+,+,TRUE,C:+ G:+ T:+,+
gpt_3_5_turbo,s3,DE,0.12235274007922878,0.17285149240425796,0.12361793575324764,0.0948718899008832,0.14246005364371345,0.09550400959119346,0.14983359025757437,0.2032429311648025,0.1517318619153018,+,+,+,TRUE,C:+ G:+ T:+,+
